PlayerID,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,TOI/GP_sec,Shifts/GP,FOW%
8459454,Jay Pandolfo,2000-2001,Regular Season,NJD,L,63,4,12,16,3,16,0.25,0,0,0,0,0,0,57,7.0,00:14:04,844,18.4,53.3
8465016,Scott Parker,2000-2001,Regular Season,COL,R,69,2,3,5,-2,155,0.07,0,0,0,0,1,0,35,5.7,00:05:42,342,9.8,0.0
8465026,Mark Parrish,2000-2001,Regular Season,NYI,R,70,17,13,30,-27,28,0.43,6,10,0,0,3,0,123,13.8,00:15:27,927,19.1,33.3
8467468,Pavel Patera,2000-2001,Regular Season,MIN,L,20,1,3,4,-8,4,0.20,0,1,0,0,0,0,14,7.1,00:14:27,867,20.9,44.0
8450223,James Patrick,2000-2001,Regular Season,BUF,D,54,4,9,13,9,12,0.24,1,6,0,0,0,0,48,8.3,00:17:15,1035,22.6,0.0
8466421,Serge Payer,2000-2001,Regular Season,FLA,C,43,5,1,6,0,21,0.14,0,0,1,1,0,0,34,14.7,00:07:26,446,11.4,42.3
8459435,Denis Pederson,2000-2001,Regular Season,VAN,C,61,4,8,12,0,65,0.20,0,1,1,1,3,0,70,5.7,00:11:41,701,17.7,42.7
8457646,Scott Pellerin,2000-2001,Regular Season,"MIN, CAR",L,77,11,33,44,2,51,0.57,2,11,2,3,2,0,138,8.0,00:17:34,1054,25.4,38.4
8459479,Ville Peltonen,2000-2001,Regular Season,NSH,L,23,3,1,4,-7,2,0.17,0,0,0,0,0,0,38,7.9,00:11:39,699,14.2,0.0
8458561,Yanic Perreault,2000-2001,Regular Season,TOR,C,76,24,28,52,0,52,0.68,5,18,0,0,2,0,134,17.9,00:14:01,841,16.1,62.6
8457661,Ricard Persson,2000-2001,Regular Season,OTT,D,33,1,8,9,8,35,0.27,0,2,0,0,1,0,43,2.3,00:17:06,1026,23.3,0.0
8467543,Toby Petersen,2000-2001,Regular Season,PIT,C,12,2,6,8,3,4,0.67,0,0,0,0,1,0,25,8.0,00:13:21,801,17.2,35.9
8458641,Oleg Petrov,2000-2001,Regular Season,MTL,R,81,17,30,47,-11,24,0.58,4,13,2,2,1,0,158,10.8,00:18:33,1113,22.8,25.0
8458946,Robert Petrovicky,2000-2001,Regular Season,NYI,C,11,0,0,0,-1,4,0.00,0,0,0,0,0,0,3,0.0,00:03:26,206,5.2,46.7
8465180,Ronald Petrovicky,2000-2001,Regular Season,CGY,R,30,4,5,9,0,54,0.30,1,2,0,0,1,0,30,13.3,00:11:32,692,18.4,42.9
8468523,Matt Pettinger,2000-2001,Regular Season,WSH,L,10,0,0,0,-1,2,0.00,0,0,0,0,0,0,6,0.0,00:07:46,466,11.8,50.0
8464956,Chris Phillips,2000-2001,Regular Season,OTT,D,73,2,12,14,8,31,0.19,2,6,0,0,0,0,77,2.6,00:21:28,1288,28.5,0.0
8450357,Michel Picard,2000-2001,Regular Season,PHI,L,7,1,4,5,6,0,0.71,1,2,0,0,0,0,12,8.3,00:14:14,854,20.7,0.0
8450389,Rich Pilon,2000-2001,Regular Season,NYR,D,69,2,9,11,-2,175,0.16,0,0,0,0,0,0,24,8.3,00:16:52,1012,22.7,0.0
8457681,Lance Pitlick,2000-2001,Regular Season,FLA,D,68,1,2,3,-5,42,0.04,0,0,0,0,0,0,24,4.2,00:13:34,814,20.9,0.0
8459474,Domenic Pittis,2000-2001,Regular Season,EDM,C,47,4,5,9,-5,49,0.19,0,0,0,0,2,0,42,9.5,00:10:46,646,14.5,54.8
8457686,Derek Plante,2000-2001,Regular Season,PHI,C,12,1,2,3,0,4,0.25,0,0,0,0,0,0,20,5.0,00:16:29,989,22.3,48.6
